timestamp,run_id,ok,not_ok,init_reached,returncode,log_file
2026-07-18T14:24:49+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T142449+1000-default.log
2026-07-18T14:47:15+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T144715+1000-default.log
2026-07-18T14:51:55+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T145155+1000-default.log
2026-07-18T14:53:41+10:00,tierc-c-1,17,0,1,0,docs/status/boot-logs/20260718T145341+1000-tierc-c-1.log
2026-07-18T14:54:02+10:00,tierc-c-2,17,0,1,0,docs/status/boot-logs/20260718T145402+1000-tierc-c-2.log
2026-07-18T14:54:20+10:00,tierc-c-3,17,0,1,0,docs/status/boot-logs/20260718T145420+1000-tierc-c-3.log
2026-07-18T14:54:45+10:00,tierc-rust-1,17,0,1,0,docs/status/boot-logs/20260718T145445+1000-tierc-rust-1.log
2026-07-18T14:55:02+10:00,tierc-rust-2,17,0,1,0,docs/status/boot-logs/20260718T145502+1000-tierc-rust-2.log
2026-07-18T14:55:19+10:00,tierc-rust-3,17,0,1,0,docs/status/boot-logs/20260718T145519+1000-tierc-rust-3.log
2026-07-18T14:56:43+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T145643+1000-default.log
2026-07-18T14:58:53+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T145853+1000-default.log
2026-07-18T15:00:15+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T150015+1000-default.log
2026-07-18T15:11:43+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T151143+1000-default.log
2026-07-18T16:03:53+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T160353+1000-default.log
2026-07-18T16:21:03+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T162103+1000-default.log
2026-07-18T16:36:08+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T163608+1000-default.log
2026-07-18T17:57:21+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T175721+1000-default.log
2026-07-18T18:02:01+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T180201+1000-default.log
2026-07-18T18:28:44+10:00,default,17,0,1,0,docs/status/boot-logs/20260718T182844+1000-default.log
2026-07-18T18:43:28+10:00,combined-c2rust-1,17,0,1,0,docs/status/boot-logs/20260718T184328+1000-combined-c2rust-1.log
